id,prac_2016,vik_2016,prac_2018,vik_2018,prac_2020,vik_2020,prac_2022,vik_2022,datum_exportu,ObjectId,Shape__Length
105,23,0,15,0,20,0,20,0,2024/08/05 00:00:00+00,197,267.297445984563
106,20,0,20,0,20,0,20,0,2024/08/05 00:00:00+00,198,633.061354050418
107,35,0,10,0,15,0,15,0,2024/08/05 00:00:00+00,199,1864.3080050196
108,34,0,16,0,20,0,20,0,2024/08/05 00:00:00+00,200,231.362056825591
109,40,35,50,25,50,15,40,20,2024/08/05 00:00:00+00,201,208.136325632268
110,38,0,35,0,40,0,40,0,2024/08/05 00:00:00+00,202,309.405563886804
111,20,0,15,0,15,0,22,0,2024/08/05 00:00:00+00,203,1252.03429306463
112,25,0,20,0,20,0,20,0,2024/08/05 00:00:00+00,204,1279.13190016929
113,25,0,25,0,20,0,35,0,2024/08/05 00:00:00+00,205,401.948540770433
114,30,0,30,0,25,0,25,0,2024/08/05 00:00:00+00,206,538.1799371974
115,25,0,25,0,20,0,20,0,2024/08/05 00:00:00+00,207,909.003290484186
116,10,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,208,589.994267860361
117,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,209,136.049819056349
118,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,210,422.89713736955
119,27,0,32,0,30,0,30,0,2024/08/05 00:00:00+00,211,466.564424545894
120,40,0,40,0,40,0,40,0,2024/08/05 00:00:00+00,212,433.300945342296
121,25,0,25,0,25,0,25,0,2024/08/05 00:00:00+00,213,1125.49099251967
122,40,0,40,0,50,0,50,0,2024/08/05 00:00:00+00,214,163.956197056856
123,20,0,20,0,20,0,20,0,2024/08/05 00:00:00+00,215,858.334882546869
124,30,20,35,20,30,20,35,25,2024/08/05 00:00:00+00,216,1513.8313815472
125,60,55,55,45,65,50,65,50,2024/08/05 00:00:00+00,217,396.925642279513
126,15,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,218,938.359997500276
129,50,40,60,50,55,45,60,45,2024/08/05 00:00:00+00,219,1441.21308752075
130,12,0,12,0,12,0,12,0,2024/08/05 00:00:00+00,220,1343.5724182339
132,20,0,30,0,50,0,160,100,2024/08/05 00:00:00+00,221,657.770468121258
131,20,20,22,10,20,10,20,10,2024/08/05 00:00:00+00,222,870.714202575346
134,30,20,44,15,40,15,40,20,2024/08/05 00:00:00+00,223,612.188470687626
140,25,20,30,10,30,10,40,20,2024/08/05 00:00:00+00,224,360.566675671758
141,22,13,22,15,20,15,20,15,2024/08/05 00:00:00+00,225,402.110571118785
142,110,70,110,55,100,60,140,70,2024/08/05 00:00:00+00,226,743.940874963285
144,15,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,227,269.123388875611
146,110,70,110,70,110,65,140,70,2024/08/05 00:00:00+00,228,224.051963148728
147,13,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,229,431.263880749491
